municipality,group,variable,month,Endodoncias,TOTAL
ACHACACHI,consultas odontologicas,endodoncias,2006-01-01,7,7
AIQUILE,consultas odontologicas,endodoncias,2006-01-01,48,48
AUCAPATA,consultas odontologicas,endodoncias,2006-01-01,1,1
AYO AYO,consultas odontologicas,endodoncias,2006-01-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,endodoncias,2006-01-01,3,3
AZURDUY,consultas odontologicas,endodoncias,2006-01-01,18,18
BATALLAS,consultas odontologicas,endodoncias,2006-01-01,5,5
BAURES,consultas odontologicas,endodoncias,2006-01-01,6,6
BERMEJO,consultas odontologicas,endodoncias,2006-01-01,12,12
BETANZOS,consultas odontologicas,endodoncias,2006-01-01,1,1
BOLIVAR,consultas odontologicas,endodoncias,2006-01-01,7,7
BOYUIBE,consultas odontologicas,endodoncias,2006-01-01,2,2
CALACOTO,consultas odontologicas,endodoncias,2006-01-01,1,1
CAMARGO,consultas odontologicas,endodoncias,2006-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,endodoncias,2006-01-01,6,6
CAMIRI,consultas odontologicas,endodoncias,2006-01-01,42,42
CAPINOTA,consultas odontologicas,endodoncias,2006-01-01,12,12
CAQUIAVIRI,consultas odontologicas,endodoncias,2006-01-01,12,12
CARACOLLO,consultas odontologicas,endodoncias,2006-01-01,9,9
CARANAVI,consultas odontologicas,endodoncias,2006-01-01,6,6
CHALLAPATA,consultas odontologicas,endodoncias,2006-01-01,24,24
CHAYANTA,consultas odontologicas,endodoncias,2006-01-01,19,19
CHIMORE,consultas odontologicas,endodoncias,2006-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,endodoncias,2006-01-01,12,12
COBIJA,consultas odontologicas,endodoncias,2006-01-01,51,51
COCHABAMBA,consultas odontologicas,endodoncias,2006-01-01,1175,1175
COLCAPIRHUA,consultas odontologicas,endodoncias,2006-01-01,13,13
COLOMI,consultas odontologicas,endodoncias,2006-01-01,4,4
COLPA BELGICA,consultas odontologicas,endodoncias,2006-01-01,3,3
COLQUECHACA,consultas odontologicas,endodoncias,2006-01-01,5,5
COMARAPA,consultas odontologicas,endodoncias,2006-01-01,20,20
COPACABANA,consultas odontologicas,endodoncias,2006-01-01,23,23
CORIPATA,consultas odontologicas,endodoncias,2006-01-01,9,9
CORO CORO,consultas odontologicas,endodoncias,2006-01-01,5,5
COROICO,consultas odontologicas,endodoncias,2006-01-01,28,28
COTAGAITA,consultas odontologicas,endodoncias,2006-01-01,40,40
COTOCA,consultas odontologicas,endodoncias,2006-01-01,26,26
CUEVO,consultas odontologicas,endodoncias,2006-01-01,1,1
CULPINA,consultas odontologicas,endodoncias,2006-01-01,1,1
CURAHUARA DE CARANGAS,consultas odontologicas,endodoncias,2006-01-01,4,4
EL ALTO,consultas odontologicas,endodoncias,2006-01-01,1086,1086
EL PUENTE(TJA),consultas odontologicas,endodoncias,2006-01-01,4,4
EL TORNO,consultas odontologicas,endodoncias,2006-01-01,23,23
ENTRE RIOS,consultas odontologicas,endodoncias,2006-01-01,4,4
ENTRE RIOS,consultas odontologicas,endodoncias,2006-01-01,16,16
EUCALIPTUS,consultas odontologicas,endodoncias,2006-01-01,5,5
FERNANDEZ ALONSO,consultas odontologicas,endodoncias,2006-01-01,18,18
