municipality,group,variable,month,Cirugia maxilo Faciales,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2006-01-01,1,1
BERMEJO,consultas odontologicas,cirugia maxilo faciales,2006-01-01,1,1
BETANZOS,consultas odontologicas,cirugia maxilo faciales,2006-01-01,2,2
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,10,10
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,34,34
COLLANA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,1,1
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-01-01,50,50
LAJA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,5,5
MONTERO,consultas odontologicas,cirugia maxilo faciales,2006-01-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-01-01,20,20
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-01-01,3,3
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,9,9
QUIME,consultas odontologicas,cirugia maxilo faciales,2006-01-01,1,1
RIBERALTA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,7,7
SACABA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,4,4
SAN IGNACIO,consultas odontologicas,cirugia maxilo faciales,2006-01-01,20,20
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,46,46
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,8,8
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-01-01,36,36
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,1,1
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-01-01,7,7
UNCIA,consultas odontologicas,cirugia maxilo faciales,2006-01-01,7,7
VILLAZON,consultas odontologicas,cirugia maxilo faciales,2006-01-01,55,55
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2006-02-01,2,2
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,6,6
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,33,33
COLLANA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,2,2
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-02-01,1,1
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,3,3
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-02-01,30,30
LAJA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,5,5
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-02-01,13,13
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-02-01,30,30
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,5,5
RIBERALTA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,2,2
SACABA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,1,1
SAN IGNACIO,consultas odontologicas,cirugia maxilo faciales,2006-02-01,3,3
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,115,115
SANTIAGO DE HUARI,consultas odontologicas,cirugia maxilo faciales,2006-02-01,3,3
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-02-01,11,11
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-02-01,20,20
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-02-01,2,2
VIACHA,consultas odontologicas,cirugia maxilo faciales,2006-02-01,20,20
CAJUATA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,5,5
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,3,3
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,38,38
COMANCHE,consultas odontologicas,cirugia maxilo faciales,2006-03-01,1,1
HUANUNI,consultas odontologicas,cirugia maxilo faciales,2006-03-01,2,2
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,5,5
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-03-01,35,35
LAJA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,5,5
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,3,3
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-03-01,36,36
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-03-01,7,7
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,7,7
SACABA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,1,1
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-03-01,4,4
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,41,41
SANTIAGO DE HUARI,consultas odontologicas,cirugia maxilo faciales,2006-03-01,1,1
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,3,3
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-03-01,37,37
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-03-01,3,3
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-03-01,9,9
