municipality,group,variable,month,Primeras consultas,TOTAL
ACACIO,consultas odontologicas,primeras consultas,2006-01-01,51,51
AIQUILE,consultas odontologicas,primeras consultas,2006-01-01,175,175
ANTEQUERA,consultas odontologicas,primeras consultas,2006-01-01,20,20
APOLO,consultas odontologicas,primeras consultas,2006-01-01,38,38
ARANI,consultas odontologicas,primeras consultas,2006-01-01,121,121
ARBIETO,consultas odontologicas,primeras consultas,2006-01-01,35,35
ATOCHA,consultas odontologicas,primeras consultas,2006-01-01,61,61
AUCAPATA,consultas odontologicas,primeras consultas,2006-01-01,2,2
AYATA,consultas odontologicas,primeras consultas,2006-01-01,46,46
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,primeras consultas,2006-01-01,125,125
AZURDUY,consultas odontologicas,primeras consultas,2006-01-01,74,74
BATALLAS,consultas odontologicas,primeras consultas,2006-01-01,121,121
BERMEJO,consultas odontologicas,primeras consultas,2006-01-01,110,110
BETANZOS,consultas odontologicas,primeras consultas,2006-01-01,46,46
BOLIVAR,consultas odontologicas,primeras consultas,2006-01-01,8,8
BOYUIBE,consultas odontologicas,primeras consultas,2006-01-01,86,86
BUENA VISTA,consultas odontologicas,primeras consultas,2006-01-01,15,15
CABEZAS,consultas odontologicas,primeras consultas,2006-01-01,26,26
CALACOTO,consultas odontologicas,primeras consultas,2006-01-01,40,40
CALAMARCA,consultas odontologicas,primeras consultas,2006-01-01,79,79
CAMARGO,consultas odontologicas,primeras consultas,2006-01-01,439,439
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,primeras consultas,2006-01-01,28,28
CAMIRI,consultas odontologicas,primeras consultas,2006-01-01,592,592
CAPINOTA,consultas odontologicas,primeras consultas,2006-01-01,25,25
CAQUIAVIRI,consultas odontologicas,primeras consultas,2006-01-01,29,29
CARACOLLO,consultas odontologicas,primeras consultas,2006-01-01,195,195
CARANAVI,consultas odontologicas,primeras consultas,2006-01-01,85,85
CARAPARI,consultas odontologicas,primeras consultas,2006-01-01,14,14
CARIPUYO,consultas odontologicas,primeras consultas,2006-01-01,353,353
CATACORA,consultas odontologicas,primeras consultas,2006-01-01,3,3
CHARAGUA,consultas odontologicas,primeras consultas,2006-01-01,97,97
CHOQUE COTA,consultas odontologicas,primeras consultas,2006-01-01,13,13
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,primeras consultas,2006-01-01,130,130
CHUMA,consultas odontologicas,primeras consultas,2006-01-01,43,43
COCHABAMBA,consultas odontologicas,primeras consultas,2006-01-01,3129,3129
COLCAPIRHUA,consultas odontologicas,primeras consultas,2006-01-01,5,5
"COLCHA ""K""",consultas odontologicas,primeras consultas,2006-01-01,86,86
COLLANA,consultas odontologicas,primeras consultas,2006-01-01,41,41
COLOMI,consultas odontologicas,primeras consultas,2006-01-01,64,64
COLQUIRI,consultas odontologicas,primeras consultas,2006-01-01,80,80
CORO CORO,consultas odontologicas,primeras consultas,2006-01-01,41,41
