municipality,group,variable,month,Pulpotomías,TOTAL
ACACIO,consultas odontologicas,pulpotomias,2006-01-01,12,12
ACHACACHI,consultas odontologicas,pulpotomias,2006-01-01,70,70
ACHOCALLA,consultas odontologicas,pulpotomias,2006-01-01,13,13
AIQUILE,consultas odontologicas,pulpotomias,2006-01-01,32,32
ALCALA,consultas odontologicas,pulpotomias,2006-01-01,67,67
ANCORAIMES,consultas odontologicas,pulpotomias,2006-01-01,74,74
ANDAMARCA,consultas odontologicas,pulpotomias,2006-01-01,8,8
ANTEQUERA,consultas odontologicas,pulpotomias,2006-01-01,9,9
ANZALDO,consultas odontologicas,pulpotomias,2006-01-01,29,29
APOLO,consultas odontologicas,pulpotomias,2006-01-01,174,174
ARANI,consultas odontologicas,pulpotomias,2006-01-01,31,31
ARBIETO,consultas odontologicas,pulpotomias,2006-01-01,6,6
ARQUE,consultas odontologicas,pulpotomias,2006-01-01,8,8
ASCENCION DE GUARAYOS,consultas odontologicas,pulpotomias,2006-01-01,31,31
ATOCHA,consultas odontologicas,pulpotomias,2006-01-01,108,108
AYATA,consultas odontologicas,pulpotomias,2006-01-01,35,35
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,pulpotomias,2006-01-01,68,68
AZURDUY,consultas odontologicas,pulpotomias,2006-01-01,47,47
BATALLAS,consultas odontologicas,pulpotomias,2006-01-01,95,95
BAURES,consultas odontologicas,pulpotomias,2006-01-01,30,30
BELLA FLOR,consultas odontologicas,pulpotomias,2006-01-01,45,45
BERMEJO,consultas odontologicas,pulpotomias,2006-01-01,114,114
BETANZOS,consultas odontologicas,pulpotomias,2006-01-01,57,57
BOLIVAR,consultas odontologicas,pulpotomias,2006-01-01,19,19
BOYUIBE,consultas odontologicas,pulpotomias,2006-01-01,27,27
BUENA VISTA,consultas odontologicas,pulpotomias,2006-01-01,33,33
CABEZAS,consultas odontologicas,pulpotomias,2006-01-01,22,22
CAIROMA,consultas odontologicas,pulpotomias,2006-01-01,32,32
"CAIZA ""D""",consultas odontologicas,pulpotomias,2006-01-01,15,15
CAJUATA,consultas odontologicas,pulpotomias,2006-01-01,57,57
CALACOTO,consultas odontologicas,pulpotomias,2006-01-01,11,11
CALAMARCA,consultas odontologicas,pulpotomias,2006-01-01,73,73
CAMARGO,consultas odontologicas,pulpotomias,2006-01-01,134,134
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,pulpotomias,2006-01-01,12,12
CAMIRI,consultas odontologicas,pulpotomias,2006-01-01,126,126
CAPINOTA,consultas odontologicas,pulpotomias,2006-01-01,20,20
CAQUIAVIRI,consultas odontologicas,pulpotomias,2006-01-01,35,35
CARACOLLO,consultas odontologicas,pulpotomias,2006-01-01,109,109
CARANAVI,consultas odontologicas,pulpotomias,2006-01-01,138,138
CARAPARI,consultas odontologicas,pulpotomias,2006-01-01,16,16
CARIPUYO,consultas odontologicas,pulpotomias,2006-01-01,44,44
CATACORA,consultas odontologicas,pulpotomias,2006-01-01,3,3
CHALLAPATA,consultas odontologicas,pulpotomias,2006-01-01,61,61
CHARAGUA,consultas odontologicas,pulpotomias,2006-01-01,46,46
CHAYANTA,consultas odontologicas,pulpotomias,2006-01-01,39,39
CHIMORE,consultas odontologicas,pulpotomias,2006-01-01,94,94
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,pulpotomias,2006-01-01,52,52
CHUMA,consultas odontologicas,pulpotomias,2006-01-01,34,34
CLIZA,consultas odontologicas,pulpotomias,2006-01-01,12,12
COBIJA,consultas odontologicas,pulpotomias,2006-01-01,245,245
COCHABAMBA,consultas odontologicas,pulpotomias,2006-01-01,1522,1522
COLCAPIRHUA,consultas odontologicas,pulpotomias,2006-01-01,42,42
"COLCHA ""K""",consultas odontologicas,pulpotomias,2006-01-01,20,20
COLLANA,consultas odontologicas,pulpotomias,2006-01-01,21,21
COLOMI,consultas odontologicas,pulpotomias,2006-01-01,31,31
