municipality,group,variable,month,Periodoncias,TOTAL
ACACIO,consultas odontologicas,periodoncias,2006-01-01,3,3
ACHACACHI,consultas odontologicas,periodoncias,2006-01-01,2,2
AIQUILE,consultas odontologicas,periodoncias,2006-01-01,113,113
ALCALA,consultas odontologicas,periodoncias,2006-01-01,17,17
ANCORAIMES,consultas odontologicas,periodoncias,2006-01-01,10,10
ARANI,consultas odontologicas,periodoncias,2006-01-01,8,8
ARBIETO,consultas odontologicas,periodoncias,2006-01-01,14,14
AYO AYO,consultas odontologicas,periodoncias,2006-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,periodoncias,2006-01-01,46,46
BATALLAS,consultas odontologicas,periodoncias,2006-01-01,12,12
BAURES,consultas odontologicas,periodoncias,2006-01-01,9,9
BERMEJO,consultas odontologicas,periodoncias,2006-01-01,31,31
BETANZOS,consultas odontologicas,periodoncias,2006-01-01,1,1
BOLIVAR,consultas odontologicas,periodoncias,2006-01-01,1,1
BOYUIBE,consultas odontologicas,periodoncias,2006-01-01,5,5
"CAIZA ""D""",consultas odontologicas,periodoncias,2006-01-01,1,1
CAJUATA,consultas odontologicas,periodoncias,2006-01-01,3,3
CALACOTO,consultas odontologicas,periodoncias,2006-01-01,4,4
CALAMARCA,consultas odontologicas,periodoncias,2006-01-01,24,24
CAMARGO,consultas odontologicas,periodoncias,2006-01-01,1,1
CAMIRI,consultas odontologicas,periodoncias,2006-01-01,71,71
CAPINOTA,consultas odontologicas,periodoncias,2006-01-01,10,10
CARACOLLO,consultas odontologicas,periodoncias,2006-01-01,4,4
CARANAVI,consultas odontologicas,periodoncias,2006-01-01,13,13
CARIPUYO,consultas odontologicas,periodoncias,2006-01-01,60,60
CHALLAPATA,consultas odontologicas,periodoncias,2006-01-01,21,21
CHAYANTA,consultas odontologicas,periodoncias,2006-01-01,2,2
CHIMORE,consultas odontologicas,periodoncias,2006-01-01,14,14
CLIZA,consultas odontologicas,periodoncias,2006-01-01,6,6
COBIJA,consultas odontologicas,periodoncias,2006-01-01,14,14
COCHABAMBA,consultas odontologicas,periodoncias,2006-01-01,771,771
COLCAPIRHUA,consultas odontologicas,periodoncias,2006-01-01,26,26
"COLCHA ""K""",consultas odontologicas,periodoncias,2006-01-01,1,1
COLOMI,consultas odontologicas,periodoncias,2006-01-01,4,4
COLQUIRI,consultas odontologicas,periodoncias,2006-01-01,7,7
COMARAPA,consultas odontologicas,periodoncias,2006-01-01,23,23
COPACABANA,consultas odontologicas,periodoncias,2006-01-01,11,11
CORIPATA,consultas odontologicas,periodoncias,2006-01-01,6,6
COROICO,consultas odontologicas,periodoncias,2006-01-01,12,12
COTAGAITA,consultas odontologicas,periodoncias,2006-01-01,59,59
COTOCA,consultas odontologicas,periodoncias,2006-01-01,19,19
CUEVO,consultas odontologicas,periodoncias,2006-01-01,2,2
CURVA,consultas odontologicas,periodoncias,2006-01-01,1,1
EL ALTO,consultas odontologicas,periodoncias,2006-01-01,577,577
EL PUENTE(TJA),consultas odontologicas,periodoncias,2006-01-01,16,16
EL TORNO,consultas odontologicas,periodoncias,2006-01-01,4,4
ENTRE RIOS,consultas odontologicas,periodoncias,2006-01-01,89,89
EUCALIPTUS,consultas odontologicas,periodoncias,2006-01-01,4,4
FERNANDEZ ALONSO,consultas odontologicas,periodoncias,2006-01-01,12,12
GENERAL SAAVEDRA,consultas odontologicas,periodoncias,2006-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,periodoncias,2006-01-01,11,11
GUANAY,consultas odontologicas,periodoncias,2006-01-01,4,4
GUAQUI,consultas odontologicas,periodoncias,2006-01-01,2,2
GUAYARAMERIN,consultas odontologicas,periodoncias,2006-01-01,144,144
GUTIERREZ,consultas odontologicas,periodoncias,2006-01-01,16,16
HUACHACALLA,consultas odontologicas,periodoncias,2006-01-01,4,4
HUANUNI,consultas odontologicas,periodoncias,2006-01-01,1,1
HUARACAJE,consultas odontologicas,periodoncias,2006-01-01,35,35
ICLA,consultas odontologicas,periodoncias,2006-01-01,30,30
INQUISIVI,consultas odontologicas,periodoncias,2006-01-01,3,3
IRUPANA (VILLA DE LANZA),consultas odontologicas,periodoncias,2006-01-01,14,14
IXIAMAS,consultas odontologicas,periodoncias,2006-01-01,2,2
JESUS DE MACHACA,consultas odontologicas,periodoncias,2006-01-01,15,15
LA ASUNTA,consultas odontologicas,periodoncias,2006-01-01,1,1
LA GUARDIA,consultas odontologicas,periodoncias,2006-01-01,55,55
LA PAZ,consultas odontologicas,periodoncias,2006-01-01,1355,1355
LAGUNILLAS,consultas odontologicas,periodoncias,2006-01-01,3,3
LICOMA PAMPA,consultas odontologicas,periodoncias,2006-01-01,2,2
LLALLAGUA,consultas odontologicas,periodoncias,2006-01-01,4,4
MACHARETI,consultas odontologicas,periodoncias,2006-01-01,3,3
MAGDALENA,consultas odontologicas,periodoncias,2006-01-01,19,19
MAIRANA,consultas odontologicas,periodoncias,2006-01-01,12,12
MAPIRI,consultas odontologicas,periodoncias,2006-01-01,2,2
MECAPACA,consultas odontologicas,periodoncias,2006-01-01,1,1
MINEROS,consultas odontologicas,periodoncias,2006-01-01,3,3
MIZQUE,consultas odontologicas,periodoncias,2006-01-01,37,37
MOJOCOYA,consultas odontologicas,periodoncias,2006-01-01,10,10
MONTERO,consultas odontologicas,periodoncias,2006-01-01,39,39
MORO MORO,consultas odontologicas,periodoncias,2006-01-01,1,1
MOROCHATA,consultas odontologicas,periodoncias,2006-01-01,1,1
OCURI,consultas odontologicas,periodoncias,2006-01-01,25,25
OKINAWA,consultas odontologicas,periodoncias,2006-01-01,11,11
OMEREQUE,consultas odontologicas,periodoncias,2006-01-01,5,5
ORURO,consultas odontologicas,periodoncias,2006-01-01,219,219
PADCAYA,consultas odontologicas,periodoncias,2006-01-01,28,28
PADILLA,consultas odontologicas,periodoncias,2006-01-01,10,10
PALCA,consultas odontologicas,periodoncias,2006-01-01,2,2
PAPEL PAMPA,consultas odontologicas,periodoncias,2006-01-01,5,5
PATACAMAYA,consultas odontologicas,periodoncias,2006-01-01,5,5
PAZÑA,consultas odontologicas,periodoncias,2006-01-01,4,4
POCOATA,consultas odontologicas,periodoncias,2006-01-01,16,16
POJO (CBBA),consultas odontologicas,periodoncias,2006-01-01,4,4
PORONGO,consultas odontologicas,periodoncias,2006-01-01,12,12
PORVENIR,consultas odontologicas,periodoncias,2006-01-01,4,4
POTOSI,consultas odontologicas,periodoncias,2006-01-01,27,27
