municipality,group,variable,month,Consultas repetidas en menores de 5 años,TOTAL
ACHACACHI,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,9,9
ACHOCALLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,4,4
AIQUILE,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,201,201
ALCALA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,3,3
ARANI,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,1,1
ARBIETO,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,2,2
ASCENCION DE GUARAYOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,10,10
ATOCHA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,361,361
AUCAPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,32,32
AYATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,24,24
AZURDUY,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,4,4
BAURES,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,4,4
BERMEJO,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,36,36
BETANZOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,45,45
BOLIVAR,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,43,43
BUENA VISTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,47,47
CAJUATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,1,1
CAMARGO,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,52,52
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,3,3
CAMIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,23,23
CAPINOTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,9,9
CARACOLLO,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,6,6
CARANAVI,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,35,35
CARAPARI,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,5,5
CARIPUYO,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,1,1
CHALLAPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,64,64
CHAYANTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,7,7
CHOQUE COTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,6,6
CLIZA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,26,26
COBIJA,consultas odontologicas,consultas repetidas en menores de 5 anos,2006-01-01,45,45
