municipality,group,variable,month,Acciones preventivas,TOTAL
ACACIO,consultas odontologicas,acciones preventivas,2006-01-01,37,37
ACHACACHI,consultas odontologicas,acciones preventivas,2006-01-01,323,323
AIQUILE,consultas odontologicas,acciones preventivas,2006-01-01,116,116
ALCALA,consultas odontologicas,acciones preventivas,2006-01-01,227,227
ANCORAIMES,consultas odontologicas,acciones preventivas,2006-01-01,24,24
APOLO,consultas odontologicas,acciones preventivas,2006-01-01,161,161
ARANI,consultas odontologicas,acciones preventivas,2006-01-01,77,77
ARBIETO,consultas odontologicas,acciones preventivas,2006-01-01,22,22
AUCAPATA,consultas odontologicas,acciones preventivas,2006-01-01,4,4
AYATA,consultas odontologicas,acciones preventivas,2006-01-01,61,61
AYO AYO,consultas odontologicas,acciones preventivas,2006-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,acciones preventivas,2006-01-01,68,68
AZURDUY,consultas odontologicas,acciones preventivas,2006-01-01,43,43
BATALLAS,consultas odontologicas,acciones preventivas,2006-01-01,6,6
BAURES,consultas odontologicas,acciones preventivas,2006-01-01,4,4
BELLA FLOR,consultas odontologicas,acciones preventivas,2006-01-01,79,79
BERMEJO,consultas odontologicas,acciones preventivas,2006-01-01,237,237
BETANZOS,consultas odontologicas,acciones preventivas,2006-01-01,50,50
BOLIVAR,consultas odontologicas,acciones preventivas,2006-01-01,31,31
BUENA VISTA,consultas odontologicas,acciones preventivas,2006-01-01,15,15
CABEZAS,consultas odontologicas,acciones preventivas,2006-01-01,15,15
CAIROMA,consultas odontologicas,acciones preventivas,2006-01-01,40,40
"CAIZA ""D""",consultas odontologicas,acciones preventivas,2006-01-01,9,9
CAJUATA,consultas odontologicas,acciones preventivas,2006-01-01,7,7
CALACOTO,consultas odontologicas,acciones preventivas,2006-01-01,4,4
CALAMARCA,consultas odontologicas,acciones preventivas,2006-01-01,25,25
CAMARGO,consultas odontologicas,acciones preventivas,2006-01-01,147,147
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,acciones preventivas,2006-01-01,16,16
CAMIRI,consultas odontologicas,acciones preventivas,2006-01-01,69,69
CAQUIAVIRI,consultas odontologicas,acciones preventivas,2006-01-01,7,7
CARACOLLO,consultas odontologicas,acciones preventivas,2006-01-01,1,1
CARANAVI,consultas odontologicas,acciones preventivas,2006-01-01,124,124
CARAPARI,consultas odontologicas,acciones preventivas,2006-01-01,10,10
CARIPUYO,consultas odontologicas,acciones preventivas,2006-01-01,78,78
CHALLAPATA,consultas odontologicas,acciones preventivas,2006-01-01,112,112
CHAYANTA,consultas odontologicas,acciones preventivas,2006-01-01,1,1
CHIMORE,consultas odontologicas,acciones preventivas,2006-01-01,85,85
CHOQUE COTA,consultas odontologicas,acciones preventivas,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,acciones preventivas,2006-01-01,64,64
CLIZA,consultas odontologicas,acciones preventivas,2006-01-01,2,2
COBIJA,consultas odontologicas,acciones preventivas,2006-01-01,261,261
COCHABAMBA,consultas odontologicas,acciones preventivas,2006-01-01,6397,6397
COLCAPIRHUA,consultas odontologicas,acciones preventivas,2006-01-01,6,6
"COLCHA ""K""",consultas odontologicas,acciones preventivas,2006-01-01,37,37
COLLANA,consultas odontologicas,acciones preventivas,2006-01-01,1,1
COLOMI,consultas odontologicas,acciones preventivas,2006-01-01,129,129
COLPA BELGICA,consultas odontologicas,acciones preventivas,2006-01-01,261,261
COLQUECHACA,consultas odontologicas,acciones preventivas,2006-01-01,459,459
COLQUIRI,consultas odontologicas,acciones preventivas,2006-01-01,72,72
COMARAPA,consultas odontologicas,acciones preventivas,2006-01-01,85,85
COPACABANA,consultas odontologicas,acciones preventivas,2006-01-01,7,7
CORIPATA,consultas odontologicas,acciones preventivas,2006-01-01,26,26
COROICO,consultas odontologicas,acciones preventivas,2006-01-01,54,54
COTAGAITA,consultas odontologicas,acciones preventivas,2006-01-01,74,74
COTOCA,consultas odontologicas,acciones preventivas,2006-01-01,246,246
CUEVO,consultas odontologicas,acciones preventivas,2006-01-01,4,4
CULPINA,consultas odontologicas,acciones preventivas,2006-01-01,27,27
CURAHUARA DE CARANGAS,consultas odontologicas,acciones preventivas,2006-01-01,3,3
