municipality,group,variable,month,Consultas nuevas en personas de 5 años y más,TOTAL
ACACIO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,43,43
ACHACACHI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,544,544
ACHOCALLA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,5,5
AIQUILE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,213,213
ALCALA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,162,162
ANCORAIMES,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,100,100
ANDAMARCA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,7,7
ANTEQUERA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,24,24
ANZALDO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,54,54
APOLO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,296,296
ARANI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,88,88
ARBIETO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,60,60
ARQUE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,24,24
ASCENCION DE GUARAYOS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,40,40
ATOCHA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,353,353
AUCAPATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,5,5
AYATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,69,69
AYO AYO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,40,40
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,160,160
AZURDUY,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,78,78
BATALLAS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,109,109
BAURES,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,92,92
BELLA FLOR,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,123,123
BERMEJO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,335,335
BETANZOS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2006-01-01,40,40
