municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
ACACIO,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,8,8
ACHACACHI,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,150,150
ACHOCALLA,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,25,25
AIQUILE,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,118,118
ALCALA,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,166,166
ANCORAIMES,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,28,28
ANTEQUERA,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,7,7
ANZALDO,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,6,6
APOLO,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,58,58
ARANI,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,33,33
ARBIETO,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,36,36
ARQUE,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,2,2
ASCENCION DE GUARAYOS,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,20,20
ATOCHA,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,36,36
AYATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,13,13
AYO AYO,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,119,119
AZURDUY,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,22,22
BATALLAS,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,17,17
BAURES,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,8,8
BELLA FLOR,consultas odontologicas,consultas nuevas en menores de 5 anos,2006-01-01,86,86
