municipality,group,variable,month,Consultas repetidas en personas de 5 años y más,TOTAL
ACACIO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,37,37
ACHACACHI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,83,83
ACHOCALLA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,28,28
AIQUILE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,32,32
ALCALA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,14,14
ANCORAIMES,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,2,2
ANDAMARCA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,2,2
ANTEQUERA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,2,2
ANZALDO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,3,3
ARANI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,39,39
ARQUE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,2,2
ASCENCION DE GUARAYOS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,16,16
ATOCHA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,321,321
AUCAPATA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,21,21
AZURDUY,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,63,63
BAURES,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,43,43
BERMEJO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,108,108
BETANZOS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,279,279
BOLIVAR,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2006-01-01,27,27
