,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2016-01-01,8,7,0,0,8,7,15
ACHACACHI,consulta externa,menores de 6 meses,2016-01-01,63,71,11,14,74,85,159
ACHOCALLA,consulta externa,menores de 6 meses,2016-01-01,35,29,0,2,35,31,66
AIQUILE,consulta externa,menores de 6 meses,2016-01-01,58,47,5,8,63,55,118
ALALAY,consulta externa,menores de 6 meses,2016-01-01,11,4,0,0,11,4,15
ALCALA,consulta externa,menores de 6 meses,2016-01-01,10,5,4,1,14,6,20
ALTO BENI,consulta externa,menores de 6 meses,2016-01-01,60,62,3,4,63,66,129
ANCORAIMES,consulta externa,menores de 6 meses,2016-01-01,9,9,0,0,9,9,18
ANDAMARCA,consulta externa,menores de 6 meses,2016-01-01,4,12,0,1,4,13,17
ANTEQUERA,consulta externa,menores de 6 meses,2016-01-01,4,3,0,0,4,3,7
ANZALDO,consulta externa,menores de 6 meses,2016-01-01,13,20,4,8,17,28,45
APOLO,consulta externa,menores de 6 meses,2016-01-01,58,47,24,23,82,70,152
ARAMPAMPA,consulta externa,menores de 6 meses,2016-01-01,4,8,0,0,4,8,12
ARANI,consulta externa,menores de 6 meses,2016-01-01,17,14,2,0,19,14,33
ARBIETO,consulta externa,menores de 6 meses,2016-01-01,76,65,4,3,80,68,148
ARQUE,consulta externa,menores de 6 meses,2016-01-01,34,27,0,2,34,29,63
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2016-01-01,87,73,3,2,90,75,165
ATOCHA,consulta externa,menores de 6 meses,2016-01-01,25,25,1,2,26,27,53
AUCAPATA,consulta externa,menores de 6 meses,2016-01-01,6,2,0,0,6,2,8
AYATA,consulta externa,menores de 6 meses,2016-01-01,15,8,1,1,16,9,25
AYO AYO,consulta externa,menores de 6 meses,2016-01-01,12,11,4,4,16,15,31
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2016-01-01,78,49,1,3,79,52,131
AZURDUY,consulta externa,menores de 6 meses,2016-01-01,47,53,5,1,52,54,106
