,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2016-01-01,6,10,0,0,6,10,16
ACHACACHI,consulta externa,personas de 10 a 14 anos,2016-01-01,22,22,2,1,24,23,47
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2016-01-01,14,17,1,1,15,18,33
AIQUILE,consulta externa,personas de 10 a 14 anos,2016-01-01,34,41,8,5,42,46,88
ALALAY,consulta externa,personas de 10 a 14 anos,2016-01-01,0,1,0,0,0,1,1
ALCALA,consulta externa,personas de 10 a 14 anos,2016-01-01,12,7,0,0,12,7,19
ALTO BENI,consulta externa,personas de 10 a 14 anos,2016-01-01,33,30,2,2,35,32,67
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2016-01-01,2,10,0,1,2,11,13
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2016-01-01,12,9,0,1,12,10,22
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2016-01-01,4,5,0,0,4,5,9
ANZALDO,consulta externa,personas de 10 a 14 anos,2016-01-01,6,16,1,4,7,20,27
APOLO,consulta externa,personas de 10 a 14 anos,2016-01-01,11,15,0,0,11,15,26
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2016-01-01,1,6,0,0,1,6,7
ARANI,consulta externa,personas de 10 a 14 anos,2016-01-01,5,7,0,1,5,8,13
ARBIETO,consulta externa,personas de 10 a 14 anos,2016-01-01,16,15,2,1,18,16,34
ARQUE,consulta externa,personas de 10 a 14 anos,2016-01-01,22,15,0,0,22,15,37
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2016-01-01,25,35,0,0,25,35,60
ATOCHA,consulta externa,personas de 10 a 14 anos,2016-01-01,34,40,9,5,43,45,88
AUCAPATA,consulta externa,personas de 10 a 14 anos,2016-01-01,5,7,0,0,5,7,12
AYATA,consulta externa,personas de 10 a 14 anos,2016-01-01,5,3,0,0,5,3,8
AYO AYO,consulta externa,personas de 10 a 14 anos,2016-01-01,7,2,0,0,7,2,9
