,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2016-01-01,14,42,0,0,14,42,56
ACHACACHI,consulta externa,personas de 50 a 59 anos,2016-01-01,63,77,15,26,78,103,181
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2016-01-01,18,21,0,0,18,21,39
AIQUILE,consulta externa,personas de 50 a 59 anos,2016-01-01,56,100,31,42,87,142,229
ALALAY,consulta externa,personas de 50 a 59 anos,2016-01-01,5,9,0,0,5,9,14
ALCALA,consulta externa,personas de 50 a 59 anos,2016-01-01,9,42,0,1,9,43,52
ALTO BENI,consulta externa,personas de 50 a 59 anos,2016-01-01,47,31,4,6,51,37,88
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2016-01-01,16,24,1,1,17,25,42
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2016-01-01,16,45,1,0,17,45,62
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2016-01-01,5,3,1,0,6,3,9
ANZALDO,consulta externa,personas de 50 a 59 anos,2016-01-01,34,62,3,20,37,82,119
APOLO,consulta externa,personas de 50 a 59 anos,2016-01-01,20,19,2,0,22,19,41
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2016-01-01,4,11,0,0,4,11,15
ARANI,consulta externa,personas de 50 a 59 anos,2016-01-01,11,16,0,1,11,17,28
ARBIETO,consulta externa,personas de 50 a 59 anos,2016-01-01,16,29,1,1,17,30,47
ARQUE,consulta externa,personas de 50 a 59 anos,2016-01-01,15,26,0,0,15,26,41
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2016-01-01,26,52,3,4,29,56,85
ATOCHA,consulta externa,personas de 50 a 59 anos,2016-01-01,112,74,35,38,147,112,259
AUCAPATA,consulta externa,personas de 50 a 59 anos,2016-01-01,15,14,0,1,15,15,30
AYATA,consulta externa,personas de 50 a 59 anos,2016-01-01,10,18,1,2,11,20,31
AYO AYO,consulta externa,personas de 50 a 59 anos,2016-01-01,12,18,0,2,12,20,32
