,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,11,0,0,6,11,17
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,71,50,23,18,94,68,162
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,36,36,1,2,37,38,75
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,60,56,6,10,66,66,132
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,5,0,0,9,5,14
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,7,9,0,0,7,9,16
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,52,81,5,5,57,86,143
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,15,18,1,1,16,19,35
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,16,17,1,0,17,17,34
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,3,5,0,1,3,6,9
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,22,10,6,19,28,47
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,53,37,24,28,77,65,142
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,2,0,0,6,2,8
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,12,1,2,15,14,29
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,77,78,3,2,80,80,160
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,27,32,1,1,28,33,61
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,94,83,1,5,95,88,183
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,27,23,2,3,29,26,55
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,0,0,0,9,0,9
