,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2016-01-01,33,72,0,0,33,72,105
ACHACACHI,consulta externa,personas de 20 a 39 anos,2016-01-01,136,326,21,52,157,378,535
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2016-01-01,38,201,0,3,38,204,242
AIQUILE,consulta externa,personas de 20 a 39 anos,2016-01-01,119,395,25,100,144,495,639
ALALAY,consulta externa,personas de 20 a 39 anos,2016-01-01,5,15,0,3,5,18,23
ALCALA,consulta externa,personas de 20 a 39 anos,2016-01-01,26,73,1,2,27,75,102
ALTO BENI,consulta externa,personas de 20 a 39 anos,2016-01-01,122,247,5,13,127,260,387
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2016-01-01,25,72,1,5,26,77,103
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2016-01-01,54,86,1,3,55,89,144
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2016-01-01,26,39,1,1,27,40,67
ANZALDO,consulta externa,personas de 20 a 39 anos,2016-01-01,44,103,3,11,47,114,161
APOLO,consulta externa,personas de 20 a 39 anos,2016-01-01,34,167,1,6,35,173,208
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2016-01-01,11,41,0,1,11,42,53
ARANI,consulta externa,personas de 20 a 39 anos,2016-01-01,26,66,0,2,26,68,94
ARBIETO,consulta externa,personas de 20 a 39 anos,2016-01-01,65,195,7,14,72,209,281
ARQUE,consulta externa,personas de 20 a 39 anos,2016-01-01,37,105,0,0,37,105,142
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2016-01-01,66,179,5,11,71,190,261
ATOCHA,consulta externa,personas de 20 a 39 anos,2016-01-01,241,308,38,44,279,352,631
AUCAPATA,consulta externa,personas de 20 a 39 anos,2016-01-01,25,37,0,0,25,37,62
AYATA,consulta externa,personas de 20 a 39 anos,2016-01-01,29,57,1,1,30,58,88
AYO AYO,consulta externa,personas de 20 a 39 anos,2016-01-01,34,56,2,4,36,60,96
