,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2016-01-01,186,214,1,1,187,215,402
ACHACACHI,consulta externa,personas de 60 anos y mas,2016-01-01,592,595,223,215,815,810,1625
ACHOCALLA,consulta externa,personas de 60 anos y mas,2016-01-01,132,130,21,24,153,154,307
AIQUILE,consulta externa,personas de 60 anos y mas,2016-01-01,308,441,156,241,464,682,1146
ALALAY,consulta externa,personas de 60 anos y mas,2016-01-01,29,48,1,4,30,52,82
ALCALA,consulta externa,personas de 60 anos y mas,2016-01-01,46,84,1,4,47,88,135
ALTO BENI,consulta externa,personas de 60 anos y mas,2016-01-01,433,229,39,26,472,255,727
ANCORAIMES,consulta externa,personas de 60 anos y mas,2016-01-01,213,266,23,50,236,316,552
ANDAMARCA,consulta externa,personas de 60 anos y mas,2016-01-01,162,226,13,10,175,236,411
ANTEQUERA,consulta externa,personas de 60 anos y mas,2016-01-01,50,72,1,4,51,76,127
ANZALDO,consulta externa,personas de 60 anos y mas,2016-01-01,223,335,18,43,241,378,619
APOLO,consulta externa,personas de 60 anos y mas,2016-01-01,193,189,14,11,207,200,407
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2016-01-01,83,133,2,0,85,133,218
ARANI,consulta externa,personas de 60 anos y mas,2016-01-01,47,108,6,17,53,125,178
ARBIETO,consulta externa,personas de 60 anos y mas,2016-01-01,165,184,18,16,183,200,383
ARQUE,consulta externa,personas de 60 anos y mas,2016-01-01,171,296,11,9,182,305,487
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2016-01-01,277,259,20,18,297,277,574
ATOCHA,consulta externa,personas de 60 anos y mas,2016-01-01,124,127,27,61,151,188,339
AUCAPATA,consulta externa,personas de 60 anos y mas,2016-01-01,96,80,4,1,100,81,181
AYATA,consulta externa,personas de 60 anos y mas,2016-01-01,155,268,13,10,168,278,446
AYO AYO,consulta externa,personas de 60 anos y mas,2016-01-01,62,78,1,3,63,81,144
