,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2016-01-01,4,6,0,0,4,6,10
ACHACACHI,consulta externa,personas de 5 a 9 anos,2016-01-01,42,34,5,6,47,40,87
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2016-01-01,23,12,0,1,23,13,36
AIQUILE,consulta externa,personas de 5 a 9 anos,2016-01-01,65,56,13,8,78,64,142
ALALAY,consulta externa,personas de 5 a 9 anos,2016-01-01,1,3,0,0,1,3,4
ALCALA,consulta externa,personas de 5 a 9 anos,2016-01-01,20,19,0,0,20,19,39
ALTO BENI,consulta externa,personas de 5 a 9 anos,2016-01-01,36,43,5,4,41,47,88
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2016-01-01,9,7,0,0,9,7,16
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2016-01-01,19,14,0,0,19,14,33
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2016-01-01,4,4,0,0,4,4,8
ANZALDO,consulta externa,personas de 5 a 9 anos,2016-01-01,16,11,0,0,16,11,27
APOLO,consulta externa,personas de 5 a 9 anos,2016-01-01,13,23,1,1,14,24,38
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2016-01-01,5,2,0,0,5,2,7
ARANI,consulta externa,personas de 5 a 9 anos,2016-01-01,14,11,1,0,15,11,26
ARBIETO,consulta externa,personas de 5 a 9 anos,2016-01-01,29,31,2,0,31,31,62
ARQUE,consulta externa,personas de 5 a 9 anos,2016-01-01,29,20,0,0,29,20,49
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2016-01-01,55,63,2,7,57,70,127
ATOCHA,consulta externa,personas de 5 a 9 anos,2016-01-01,76,48,10,4,86,52,138
AUCAPATA,consulta externa,personas de 5 a 9 anos,2016-01-01,6,5,0,0,6,5,11
AYATA,consulta externa,personas de 5 a 9 anos,2016-01-01,12,15,0,0,12,15,27
AYO AYO,consulta externa,personas de 5 a 9 anos,2016-01-01,14,10,0,0,14,10,24
