,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2016-01-01,8,16,0,0,8,16,24
ACHACACHI,consulta externa,personas de 15 a 19 anos,2016-01-01,62,86,11,19,73,105,178
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2016-01-01,13,36,1,0,14,36,50
AIQUILE,consulta externa,personas de 15 a 19 anos,2016-01-01,51,82,12,15,63,97,160
ALALAY,consulta externa,personas de 15 a 19 anos,2016-01-01,7,9,0,2,7,11,18
ALCALA,consulta externa,personas de 15 a 19 anos,2016-01-01,10,14,0,0,10,14,24
ALTO BENI,consulta externa,personas de 15 a 19 anos,2016-01-01,28,56,1,3,29,59,88
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2016-01-01,3,22,1,0,4,22,26
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2016-01-01,14,18,0,0,14,18,32
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2016-01-01,4,4,0,0,4,4,8
ANZALDO,consulta externa,personas de 15 a 19 anos,2016-01-01,7,19,1,1,8,20,28
APOLO,consulta externa,personas de 15 a 19 anos,2016-01-01,10,27,0,2,10,29,39
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2016-01-01,2,7,0,0,2,7,9
ARANI,consulta externa,personas de 15 a 19 anos,2016-01-01,12,18,0,1,12,19,31
ARBIETO,consulta externa,personas de 15 a 19 anos,2016-01-01,17,58,2,3,19,61,80
ARQUE,consulta externa,personas de 15 a 19 anos,2016-01-01,10,34,0,0,10,34,44
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2016-01-01,16,61,2,5,18,66,84
ATOCHA,consulta externa,personas de 15 a 19 anos,2016-01-01,36,49,11,2,47,51,98
AUCAPATA,consulta externa,personas de 15 a 19 anos,2016-01-01,2,9,0,0,2,9,11
AYATA,consulta externa,personas de 15 a 19 anos,2016-01-01,4,13,0,0,4,13,17
AYO AYO,consulta externa,personas de 15 a 19 anos,2016-01-01,16,12,0,0,16,12,28
