,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2016-01-01,15,32,0,1,15,33,48
ACHACACHI,consulta externa,personas de 40 a 49 anos,2016-01-01,30,95,16,33,46,128,174
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2016-01-01,20,38,0,0,20,38,58
AIQUILE,consulta externa,personas de 40 a 49 anos,2016-01-01,57,129,19,32,76,161,237
ALALAY,consulta externa,personas de 40 a 49 anos,2016-01-01,2,9,0,0,2,9,11
ALCALA,consulta externa,personas de 40 a 49 anos,2016-01-01,16,24,0,0,16,24,40
ALTO BENI,consulta externa,personas de 40 a 49 anos,2016-01-01,56,52,3,4,59,56,115
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2016-01-01,11,26,1,5,12,31,43
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2016-01-01,16,33,1,0,17,33,50
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2016-01-01,12,4,0,0,12,4,16
ANZALDO,consulta externa,personas de 40 a 49 anos,2016-01-01,31,68,7,19,38,87,125
APOLO,consulta externa,personas de 40 a 49 anos,2016-01-01,16,43,0,1,16,44,60
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2016-01-01,7,5,0,0,7,5,12
ARANI,consulta externa,personas de 40 a 49 anos,2016-01-01,8,9,0,1,8,10,18
ARBIETO,consulta externa,personas de 40 a 49 anos,2016-01-01,13,47,1,1,14,48,62
ARQUE,consulta externa,personas de 40 a 49 anos,2016-01-01,17,37,0,0,17,37,54
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2016-01-01,37,51,7,2,44,53,97
ATOCHA,consulta externa,personas de 40 a 49 anos,2016-01-01,183,100,38,22,221,122,343
AUCAPATA,consulta externa,personas de 40 a 49 anos,2016-01-01,27,34,0,1,27,35,62
AYATA,consulta externa,personas de 40 a 49 anos,2016-01-01,11,35,3,2,14,37,51
AYO AYO,consulta externa,personas de 40 a 49 anos,2016-01-01,18,17,0,1,18,18,36
