,group,variable,month,0 ANTIROTAVIRUS 3RA. DOSIS,0 ANTIROTAVIRUS 3RA. DOSIS,0 ANTIROTAVIRUS 3RA. DOSIS,0 ANTIROTAVIRUS 3RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PAILON,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-10-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
PUNA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARNES,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-10-01,82.0,0.0,0.0,0.0,82.0,0.0,82.0
UNCIA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-11-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
WARNES,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-11-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-12-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TUPIZA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
UYUNI,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2008-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
