,group,variable,month,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TINGUIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMAVE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARAPARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,7.0,0.0,0.0,0.0,7.0,0.0,7.0
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
CORQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,10.0,0.0,0.0,0.0,10.0,0.0,10.0
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,15.0,3.0,0.0,0.0,15.0,3.0,18.0
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
ORURO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,17.0,6.0,0.0,0.0,17.0,6.0,23.0
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
