,group,variable,month,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-06-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
BERMEJO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
BETANZOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,20.0,0.0,0.0,0.0,20.0,0.0,20.0
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,24.0,0.0,0.0,0.0,24.0,0.0,24.0
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ORURO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PALCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
