,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,15,0,0,7,15,22
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,29,51,0,0,29,51,80
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,33,0,0,9,33,42
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,16,28,0,0,16,28,44
ALALAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,3,0,0,4,3,7
ALCALA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,3,0,0,2,3,5
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,28,0,0,3,28,31
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,1,0,0,2,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,10,0,0,0,10,0,10
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,14,0,0,9,14,23
APOLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,20,13,0,0,20,13,33
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,9,0,0,0,9,9
ARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,10,4,0,0,10,4,14
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,10,0,0,5,10,15
ARQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,13,13,0,0,13,13,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,36,0,0,0,36,0,36
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,17,6,0,0,17,6,23
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,5,0,0,0,5,5
AYATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,12,0,0,4,12,16
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,4,0,0,3,4,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,20,18,0,0,20,18,38
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,24,22,0,0,24,22,46
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,13,12,0,0,13,12,25
BAURES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,0,0,0,2,0,2
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,48,4,0,0,48,4,52
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,23,19,0,0,23,19,42
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,11,13,0,0,11,13,24
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,3,0,0,1,3,4
