,group,variable,month,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,3,0,0,3,3,6
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,30,47,0,0,30,47,77
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,27,0,0,8,27,35
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,24,28,0,0,24,28,52
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,8,0,0,2,8,10
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,3,0,0,5,3,8
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,18,0,0,1,18,19
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,1,0,0,2,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,0,0,0,7,0,7
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,11,0,0,4,11,15
APOLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,15,14,0,0,15,14,29
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,7,0,0,1,7,8
ARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,13,0,0,6,13,19
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,11,0,0,8,11,19
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,2,0,0,4,2,6
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,39,1,0,0,39,1,40
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,19,9,0,0,19,9,28
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,4,0,0,0,4,4
AYATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,9,0,0,3,9,12
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,9,0,0,3,9,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,28,0,0,9,28,37
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,11,14,0,0,11,14,25
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,13,12,0,0,13,12,25
BAURES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,0,0,0,1,0,1
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,1,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,2,0,0,2,2,4
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,49,5,0,0,49,5,54
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,12,20,0,0,12,20,32
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,2,0,0,3,2,5
