,group,variable,month,BCG,BCG,BCG,BCG,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,12,0,0,11,12,23
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2008-01-01,42,32,0,0,42,32,74
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,26,0,0,7,26,33
AIQUILE,vacunaciones en menores de 1 ano,bcg,2008-01-01,30,12,0,0,30,12,42
ALALAY,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,1,0,0,4,1,5
ALCALA,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,0,0,0,4,0,4
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,22,0,0,0,22,22
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,3,0,0,1,3,4
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,0,0,0,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,bcg,2008-01-01,12,7,0,0,12,7,19
APOLO,vacunaciones en menores de 1 ano,bcg,2008-01-01,15,6,0,0,15,6,21
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,10,0,0,1,10,11
ARANI,vacunaciones en menores de 1 ano,bcg,2008-01-01,6,4,0,0,6,4,10
ARBIETO,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,2,0,0,10,2,12
ARQUE,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,9,0,0,10,9,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,62,1,0,0,62,1,63
ATOCHA,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,9,0,0,10,9,19
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,3,0,0,0,3,3
AYATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,13,0,0,1,13,14
AYO AYO,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,3,0,0,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2008-01-01,16,21,0,0,16,21,37
AZURDUY,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,8,0,0,10,8,18
BATALLAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,5,0,0,11,5,16
BAURES,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,0,0,0,7,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,1,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,bcg,2008-01-01,50,3,0,0,50,3,53
BETANZOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,22,29,0,0,22,29,51
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,8,0,0,10,8,18
BOLPEBRA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,1,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,4,0,0,3,4,7
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,20,12,0,0,20,12,32
CABEZAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,15,2,0,0,15,2,17
CAIROMA,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,15,0,0,4,15,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2008-01-01,0,5,0,0,0,5,5
CAJUATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,4,0,0,11,4,15
