,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO.1,FUERA.1,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,4,0,0,6,4,10
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,19,44,0,0,19,44,63
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,21,0,0,5,21,26
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,22,31,0,0,22,31,53
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,6,0,0,2,6,8
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,2,0,0,3,2,5
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,16,0,0,1,16,17
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,2,0,0,0,2,2
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,3,0,0,2,3,5
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,3,0,0,5,3,8
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,8,13,0,0,8,13,21
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,6,0,0,0,6,6
ARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,13,0,0,6,13,19
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,11,11,0,0,11,11,22
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,5,0,0,4,5,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,38,3,0,0,38,3,41
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,4,0,0,12,4,16
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,3,0,0,2,3,5
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,11,0,0,4,11,15
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,5,0,0,2,5,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,19,16,0,0,19,16,35
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,11,7,0,0,11,7,18
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,15,9,0,0,15,9,24
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,8,0,0,0,8,0,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,3,0,0,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,54,16,0,0,54,16,70
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,11,21,0,0,11,21,32
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,0,0,0,1,0,1
