,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,6,0,6,6
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,3,5,3,5,8
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,10,18,10,18,28
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,9,5,9,5,14
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,4,0,4,4
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,3,3,3,3,6
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,46,99,46,99,145
CABEZAS,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,3,9,3,9,12
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,12,37,12,37,49
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,9,36,9,36,45
CARACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,20,0,20,20
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,29,71,29,71,100
CARAPARI,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,1,1,1,1,2
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,1,1,1,1,2
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,6,9,6,9,15
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,3,2,3,2,5
CHIMORE,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,9,22,9,22,31
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,3,11,3,11,14
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,34,68,34,68,102
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,262,720,262,720,982
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,4,10,4,10,14
COLQUECHACA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,1,0,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,7,30,7,30,37
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,362,989,362,989,1351
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,6,0,6,6
EL VILLAR,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,1,1,1,1,2
ENTRE RIOS CBBA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,5,0,5,5
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,6,16,6,16,22
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,4,0,4,4
INCAHUASI,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,1,0,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,2,0,2,2
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,408,756,408,756,1164
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,4,4,4,4,8
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,1,0,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,1,3,1,3,4
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,6,0,6,6
MINEROS,internaciones,ingresos referidos de otros establecimientos de salud,2024-01-01,0,1,0,1,1
