,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,6,18,6,18,24
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,4,3,4,3,7
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,12,29,12,29,41
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,2,0,2,2
BAURES,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,1,1,1,2
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,40,80,40,80,120
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,14,25,14,25,39
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,18,85,18,85,103
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,14,50,14,50,64
CARIPUYO,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,1,0,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,5,11,5,11,16
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,6,18,6,18,24
CHIMORE,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,11,12,11,12,23
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,1,0,1,1
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,13,23,13,23,36
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,281,665,281,665,946
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,10,67,10,67,77
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,5,0,5,5
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,1,0,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,9,17,9,17,26
COTOCA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,42,31,42,31,73
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,6,1,6,7
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,228,842,228,842,1070
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,2,10,2,10,12
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,5,1,5,6
ENTRE RIOS CBBA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,0,1,0,1
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,0,1,0,1
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,2,1,2,3
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,2,1,2,3
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,28,38,28,38,66
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,1,2,1,2,3
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,3,6,3,6,9
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,264,833,264,833,1097
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,3,0,3,3
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,6,12,6,12,18
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2023-01-01,0,1,0,1,1
