municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones,dias camas disponibles maternidad,2009-01-01,31,31
ACHACACHI,internaciones,dias camas disponibles maternidad,2009-01-01,248,248
ACHOCALLA,internaciones,dias camas disponibles maternidad,2009-01-01,31,31
AIQUILE,internaciones,dias camas disponibles maternidad,2009-01-01,1054,1054
ALALAY,internaciones,dias camas disponibles maternidad,2009-01-01,124,124
ALCALA,internaciones,dias camas disponibles maternidad,2009-01-01,155,155
ANCORAIMES,internaciones,dias camas disponibles maternidad,2009-01-01,62,62
ANZALDO,internaciones,dias camas disponibles maternidad,2009-01-01,62,62
APOLO,internaciones,dias camas disponibles maternidad,2009-01-01,93,93
ARANI,internaciones,dias camas disponibles maternidad,2009-01-01,186,186
ARBIETO,internaciones,dias camas disponibles maternidad,2009-01-01,216,216
ARQUE,internaciones,dias camas disponibles maternidad,2009-01-01,186,186
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles maternidad,2009-01-01,310,310
ATOCHA,internaciones,dias camas disponibles maternidad,2009-01-01,155,155
AYO AYO,internaciones,dias camas disponibles maternidad,2009-01-01,124,124
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles maternidad,2009-01-01,649,649
AZURDUY,internaciones,dias camas disponibles maternidad,2009-01-01,300,300
BATALLAS,internaciones,dias camas disponibles maternidad,2009-01-01,62,62
BAURES,internaciones,dias camas disponibles maternidad,2009-01-01,62,62
BERMEJO,internaciones,dias camas disponibles maternidad,2009-01-01,396,396
BETANZOS,internaciones,dias camas disponibles maternidad,2009-01-01,465,465
BOLIVAR,internaciones,dias camas disponibles maternidad,2009-01-01,124,124
BOYUIBE,internaciones,dias camas disponibles maternidad,2009-01-01,124,124
BUENA VISTA,internaciones,dias camas disponibles maternidad,2009-01-01,495,495
CABEZAS,internaciones,dias camas disponibles maternidad,2009-01-01,403,403
CAIROMA,internaciones,dias camas disponibles maternidad,2009-01-01,93,93
"CAIZA ""D""",internaciones,dias camas disponibles maternidad,2009-01-01,186,186
CAJUATA,internaciones,dias camas disponibles maternidad,2009-01-01,62,62
CALAMARCA,internaciones,dias camas disponibles maternidad,2009-01-01,62,62
CAMARGO,internaciones,dias camas disponibles maternidad,2009-01-01,279,279
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles maternidad,2009-01-01,93,93
CAMIRI,internaciones,dias camas disponibles maternidad,2009-01-01,619,619
CAPINOTA,internaciones,dias camas disponibles maternidad,2009-01-01,279,279
CARACOLLO,internaciones,dias camas disponibles maternidad,2009-01-01,217,217
CARANAVI,internaciones,dias camas disponibles maternidad,2009-01-01,434,434
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles maternidad,2009-01-01,49,49
