,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,5,0,2,2,7,9
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
AIQUILE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,3,1,0,3,3,6
ALALAY,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,2,3,2,5,7
ANTEQUERA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
APOLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,11,1,1,2,12,14
ARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,4,0,0,1,4,5
ARBIETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,5,9,1,2,6,11,17
ARQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,3,0,0,2,3,5
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
AUCAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,2,0,1,1,3,4
BATALLAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,1,0,2,2
BAURES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
