,group,variable,month,17.21 SR DENTRO,17.21 SR DENTRO,17.21 SR FUERA,17.21 SR FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALTO BENI,otras vacunaciones,sr,2022-01-01,1,1,0,0,1,1,2
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2022-01-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,sr,2022-01-01,2,0,0,0,2,0,2
CAMARGO,otras vacunaciones,sr,2022-01-01,9,7,0,0,9,7,16
CARANAVI,otras vacunaciones,sr,2022-01-01,6,6,0,0,6,6,12
CHALLAPATA,otras vacunaciones,sr,2022-01-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,sr,2022-01-01,2,6,4,8,6,14,20
COCHABAMBA,otras vacunaciones,sr,2022-01-01,41,31,0,0,41,31,72
COLOMI,otras vacunaciones,sr,2022-01-01,0,1,0,0,0,1,1
COLPA BELGICA,otras vacunaciones,sr,2022-01-01,2,3,0,0,2,3,5
COMARAPA,otras vacunaciones,sr,2022-01-01,1,14,0,0,1,14,15
CONCEPCION,otras vacunaciones,sr,2022-01-01,6,21,0,1,6,22,28
COTOCA,otras vacunaciones,sr,2022-01-01,14,13,20,0,34,13,47
CUATRO CAÑADAS,otras vacunaciones,sr,2022-01-01,0,0,7,3,7,3,10
CUEVO,otras vacunaciones,sr,2022-01-01,0,0,0,1,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,sr,2022-01-01,3,2,2,3,5,5,10
EL ALTO,otras vacunaciones,sr,2022-01-01,35,45,12,2,47,47,94
EL CHORO,otras vacunaciones,sr,2022-01-01,3,5,0,0,3,5,8
EL PUENTE(STC),otras vacunaciones,sr,2022-01-01,0,1,1,0,1,1,2
EL TORNO,otras vacunaciones,sr,2022-01-01,13,25,0,0,13,25,38
GUANAY,otras vacunaciones,sr,2022-01-01,2,0,0,0,2,0,2
HUANUNI,otras vacunaciones,sr,2022-01-01,1,0,0,0,1,0,1
HUAYLLAMARCA,otras vacunaciones,sr,2022-01-01,0,1,0,0,0,1,1
IXIAMAS,otras vacunaciones,sr,2022-01-01,4,2,0,0,4,2,6
LA GUARDIA,otras vacunaciones,sr,2022-01-01,2,0,0,0,2,0,2
