,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,1,1,0,0,1,1,2
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,3,5,0,0,3,5,8
COBIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,4,1,0,0,4,1,5
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,0,1,0,1,1
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,2,0,2,1,4,1,5
COTAGAITA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,1,0,1,0,2,0,2
CURAHUARA DE CARANGAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,335,15,335,15,350
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,3,1,0,1,3,4
EL VILLAR,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,1,1,0,0,1,1,2
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,2,3,6,3,8,6,14
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,1,3,0,0,1,3,4
LLALLAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,4,6,4,6,10
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,1,3,0,0,1,3,4
