,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,1,1,0,0,1,1,2
ANCORAIMES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,0,1,0,1,0,2,2
ARANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,1,1,0,0,1,1,2
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,1,1,0,0,1,1,2
BELLA FLOR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,2,7,0,0,2,7,9
CAMARGO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,2,6,0,0,2,6,8
CAMIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,0,1,0,0,0,1,1
CAPINOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,0,2,0,0,0,2,2
CARANAVI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,0,4,0,0,0,4,4
CHACARILLA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,1,2,0,1,1,3,4
CHIMORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,0,1,0,1,0,2,2
COBIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2022-01-01,2,3,0,0,2,3,5
