,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,2,7,0,0,2,7,9
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,0,1,0,1,0,1
COLQUIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,2,1,0,0,2,1,3
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,2,4,0,0,2,4,6
PALOS BLANCOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,2,0,0,0,2,2
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,0,1,1,1,1,2
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,16,14,0,0,16,14,30
