,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,1,1,0,0,1,1,2
ARANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,1,3,0,0,1,3,4
ARBIETO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,1,0,0,0,1,0,1
BAURES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,0,1,0,0,0,1,1
BELEN DE ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,2,0,0,0,2,0,2
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,3,4,0,0,3,4,7
CAMARGO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,2,2,0,0,2,2,4
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,1,0,0,0,1,0,1
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,3,1,0,0,3,1,4
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,1,3,0,0,1,3,4
CHIMORE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2022-01-01,4,7,0,2,4,9,13
