,group,variable,month,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,9,9,0,0,9,9,18
AZURDUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,3,1,0,0,3,1,4
CARANAVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,1,0,1,0,1
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,1,1,1,1,2
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,2,3,0,0,2,3,5
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,79,101,5,2,84,103,187
CORIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
CORO CORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,6,10,0,0,6,10,16
CULPINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,2,0,0,1,2,3
DESAGUADERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,2,2,3,2,5,7
EL VILLAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
ESCOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,2,1,2,1,3
GUAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
HUACARETA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,6,6,0,0,6,6,12
HUARINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
ICLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,1,1,1,1,2
