,group,variable,month,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,1,3,0,1,1,4,5
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
AIQUILE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
ALTO BENI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,2,0,2,4,4,4,8
ANDAMARCA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,3,6,1,1,4,7,11
ARANI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
ARBIETO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
ARQUE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,2,2,0,0,2,2,4
AUCAPATA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,3,0,0,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,0,1,1,1,1,2
BETANZOS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
BOLPEBRA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
