,group,variable,month,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS FUERA,17.24 COVID 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid 2da dosis,2022-01-01,19,21,7,3,26,24,50
ACHACACHI,otras vacunaciones,covid 2da dosis,2022-01-01,425,385,142,134,567,519,1086
AIQUILE,otras vacunaciones,covid 2da dosis,2022-01-01,638,595,23,21,661,616,1277
ALALAY,otras vacunaciones,covid 2da dosis,2022-01-01,51,37,0,0,51,37,88
ALCALA,otras vacunaciones,covid 2da dosis,2022-01-01,40,36,39,35,79,71,150
ALTO BENI,otras vacunaciones,covid 2da dosis,2022-01-01,54,62,7,10,61,72,133
ANCORAIMES,otras vacunaciones,covid 2da dosis,2022-01-01,113,117,10,17,123,134,257
ANDAMARCA,otras vacunaciones,covid 2da dosis,2022-01-01,129,133,0,0,129,133,262
ANTEQUERA,otras vacunaciones,covid 2da dosis,2022-01-01,178,170,0,0,178,170,348
ANZALDO,otras vacunaciones,covid 2da dosis,2022-01-01,133,163,8,10,141,173,314
APOLO,otras vacunaciones,covid 2da dosis,2022-01-01,121,96,97,83,218,179,397
ARAMPAMPA,otras vacunaciones,covid 2da dosis,2022-01-01,10,1,12,17,22,18,40
ARANI,otras vacunaciones,covid 2da dosis,2022-01-01,231,254,2,2,233,256,489
ARBIETO,otras vacunaciones,covid 2da dosis,2022-01-01,475,463,15,9,490,472,962
ARQUE,otras vacunaciones,covid 2da dosis,2022-01-01,33,32,17,16,50,48,98
ASCENCION DE GUARAYOS,otras vacunaciones,covid 2da dosis,2022-01-01,59,58,215,265,274,323,597
ATOCHA,otras vacunaciones,covid 2da dosis,2022-01-01,279,231,52,37,331,268,599
AUCAPATA,otras vacunaciones,covid 2da dosis,2022-01-01,33,28,9,7,42,35,77
AYATA,otras vacunaciones,covid 2da dosis,2022-01-01,27,37,15,10,42,47,89
AYO AYO,otras vacunaciones,covid 2da dosis,2022-01-01,74,80,5,6,79,86,165
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 2da dosis,2022-01-01,260,285,149,142,409,427,836
