,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,0,1,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
COLOMI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,0,2,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
HUACHACALLA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,3,0,0,0,3,0,3
PADCAYA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
PAILON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
SAN JOAQUIN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,1,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,1,1,0,0,1,1,2
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-01-01,0,2,0,0,0,2,2
ARQUE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
