,group,variable,month,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA FUERA,17.25 COVID DOSIS UNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid dosis unica,2022-01-01,0,2,1,2,1,4,5
CHACARILLA,otras vacunaciones,covid dosis unica,2022-01-01,2,0,0,0,2,0,2
CORO CORO,otras vacunaciones,covid dosis unica,2022-01-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,covid dosis unica,2022-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,otras vacunaciones,covid dosis unica,2022-01-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid dosis unica,2022-01-01,63,71,0,0,63,71,134
LLICA,otras vacunaciones,covid dosis unica,2022-01-01,6,2,1,1,7,3,10
PORTACHUELO,otras vacunaciones,covid dosis unica,2022-01-01,10,20,0,0,10,20,30
RURRENABAQUE,otras vacunaciones,covid dosis unica,2022-01-01,6,2,9,5,15,7,22
SAN BORJA,otras vacunaciones,covid dosis unica,2022-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-01-01,37,31,0,0,37,31,68
TORO TORO,otras vacunaciones,covid dosis unica,2022-01-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,covid dosis unica,2022-01-01,385,406,0,0,385,406,791
VIACHA,otras vacunaciones,covid dosis unica,2022-01-01,0,3,688,479,688,482,1170
VILLAZON,otras vacunaciones,covid dosis unica,2022-01-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,covid dosis unica,2022-01-01,12,17,0,0,12,17,29
BERMEJO,otras vacunaciones,covid dosis unica,2022-02-01,0,1,0,0,0,1,1
CHAYANTA,otras vacunaciones,covid dosis unica,2022-02-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,covid dosis unica,2022-02-01,36,24,0,0,36,24,60
CORIPATA,otras vacunaciones,covid dosis unica,2022-02-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,covid dosis unica,2022-02-01,7,6,0,0,7,6,13
IXIAMAS,otras vacunaciones,covid dosis unica,2022-02-01,0,0,21,21,21,21,42
