,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,7,0,0,0,7,7
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,21,0,0,0,21,21
ANCORAIMES,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,1,0,0,0,1,1
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,3,0,4,0,7,7
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,15,0,0,0,15,15
ATOCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,4,0,0,0,4,4
AYATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,4,0,0,0,4,4
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,2,0,0,0,2,2
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,2,0,0,0,2,2
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,0,0,2,0,2,2
BERMEJO,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,2,0,0,0,2,2
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,4,0,0,0,4,4
BOLIVAR,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,2,0,0,0,2,2
BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,11,0,0,0,11,11
CABEZAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,1,0,0,0,1,1
CAIROMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2022-01-01,0,3,0,0,0,3,3
