,group,variable,month,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANCORAIMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,0,0,0,2,0,2
BETANZOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,0,1,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,6,5,12,0,18,5,23
COLQUECHACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,3,0,0,0,3,0,3
GAIOC JATUN AYLLU YURA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,0,3,4,3,4,7
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,36,37,0,0,36,37,73
LLALLAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,0,0,0,1,0,1
MAIRANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,2,0,0,0,2,2
