,group,variable,month,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,13,14,0,2,13,16,29
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,5,32,0,0,5,32,37
AIQUILE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,1,2,0,0,1,2,3
ALALAY,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,3,5,4,3,7,8,15
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,1,2,1,0,2,2,4
ANZALDO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,1,0,2,1,3,1,4
APOLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,0,10,0,3,0,13,13
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,0,4,0,2,0,6,6
ARANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
ARBIETO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,10,10,1,0,11,10,21
ARQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,3,4,0,0,3,4,7
ASCENCION DE GUARAYOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,5,12,0,0,5,12,17
ATOCHA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2022-01-01,0,6,0,0,0,6,6
