,group,variable,month,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,10,0,11,11
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
AIQUILE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
APOLO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,2,3,0,0,2,3,5
ARBIETO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,1,0,1,0,2,0,2
ARQUE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,1,2,0,0,1,2,3
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
AUCAPATA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
AZURDUY,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,1,0,1,1,2,1,3
BOLPEBRA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,0,2,0,2,0,2
BOYUIBE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
