,group,variable,month,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BETANZOS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,0,1,10,0,10,1,11
EUREKA (SANTOS MERCADO),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,2,1,0,0,2,1,3
MAIRANA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,0,2,0,0,0,2,2
QUILLACOLLO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,1,3,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,2,3,0,0,2,3,5
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,1,6,0,0,1,6,7
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-01-01,4,6,0,0,4,6,10
BUENA VISTA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,1,2,0,0,1,2,3
