,group,variable,month,17.26 COVID 3RA DOSIS DENTRO,17.26 COVID 3RA DOSIS DENTRO,17.26 COVID 3RA DOSIS FUERA,17.26 COVID 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,16,14,16,14,30
ACHACACHI,otras vacunaciones,covid 3ra dosis,2022-01-01,25,21,0,0,25,21,46
AIQUILE,otras vacunaciones,covid 3ra dosis,2022-01-01,418,500,16,15,434,515,949
ALALAY,otras vacunaciones,covid 3ra dosis,2022-01-01,60,72,0,0,60,72,132
ALCALA,otras vacunaciones,covid 3ra dosis,2022-01-01,7,13,44,66,51,79,130
ANCORAIMES,otras vacunaciones,covid 3ra dosis,2022-01-01,34,15,7,0,41,15,56
ANDAMARCA,otras vacunaciones,covid 3ra dosis,2022-01-01,46,50,0,0,46,50,96
ANTEQUERA,otras vacunaciones,covid 3ra dosis,2022-01-01,95,97,0,0,95,97,192
ANZALDO,otras vacunaciones,covid 3ra dosis,2022-01-01,30,71,1,0,31,71,102
APOLO,otras vacunaciones,covid 3ra dosis,2022-01-01,7,10,108,92,115,102,217
ARANI,otras vacunaciones,covid 3ra dosis,2022-01-01,58,68,0,1,58,69,127
ARBIETO,otras vacunaciones,covid 3ra dosis,2022-01-01,101,153,0,1,101,154,255
ARQUE,otras vacunaciones,covid 3ra dosis,2022-01-01,24,28,4,2,28,30,58
ASCENCION DE GUARAYOS,otras vacunaciones,covid 3ra dosis,2022-01-01,23,16,46,54,69,70,139
ATOCHA,otras vacunaciones,covid 3ra dosis,2022-01-01,308,258,63,55,371,313,684
AUCAPATA,otras vacunaciones,covid 3ra dosis,2022-01-01,4,5,18,5,22,10,32
AYATA,otras vacunaciones,covid 3ra dosis,2022-01-01,26,24,3,2,29,26,55
AYO AYO,otras vacunaciones,covid 3ra dosis,2022-01-01,1,10,0,0,1,10,11
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 3ra dosis,2022-01-01,135,150,125,147,260,297,557
AZURDUY,otras vacunaciones,covid 3ra dosis,2022-01-01,124,137,16,20,140,157,297
BAURES,otras vacunaciones,covid 3ra dosis,2022-01-01,163,131,21,15,184,146,330
