,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,7,0,0,1,7,8
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,23,0,0,0,23,23
AIQUILE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,4,0,0,1,4,5
ALALAY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,2,3,2,3,5
ALTO BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,3,7,5,8,8,16
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,2,0,0,3,2,5
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,1,2,2,3,5
ANZALDO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,2,0,2,1,3
APOLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,9,1,4,4,13,17
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,1,0,2,2
ARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,3,0,0,1,3,4
ARBIETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,5,8,2,2,7,10,17
ARQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,3,0,0,1,3,4
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
ATOCHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
AYO AYO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
