,group,variable,month,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS FUERA,17.23 COVID 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid 1ra dosis,2022-01-01,81,78,24,37,105,115,220
ACHACACHI,otras vacunaciones,covid 1ra dosis,2022-01-01,1777,1689,597,533,2374,2222,4596
AIQUILE,otras vacunaciones,covid 1ra dosis,2022-01-01,1121,995,66,62,1187,1057,2244
ALALAY,otras vacunaciones,covid 1ra dosis,2022-01-01,115,86,0,1,115,87,202
ALCALA,otras vacunaciones,covid 1ra dosis,2022-01-01,22,14,27,37,49,51,100
ALTO BENI,otras vacunaciones,covid 1ra dosis,2022-01-01,258,236,72,18,330,254,584
ANCORAIMES,otras vacunaciones,covid 1ra dosis,2022-01-01,436,436,90,42,526,478,1004
ANDAMARCA,otras vacunaciones,covid 1ra dosis,2022-01-01,164,141,0,0,164,141,305
ANTEQUERA,otras vacunaciones,covid 1ra dosis,2022-01-01,174,146,0,0,174,146,320
ANZALDO,otras vacunaciones,covid 1ra dosis,2022-01-01,458,422,16,14,474,436,910
APOLO,otras vacunaciones,covid 1ra dosis,2022-01-01,332,237,190,153,522,390,912
ARAMPAMPA,otras vacunaciones,covid 1ra dosis,2022-01-01,21,12,19,22,40,34,74
ARANI,otras vacunaciones,covid 1ra dosis,2022-01-01,738,786,2,5,740,791,1531
ARBIETO,otras vacunaciones,covid 1ra dosis,2022-01-01,1574,1533,9,4,1583,1537,3120
ARQUE,otras vacunaciones,covid 1ra dosis,2022-01-01,228,174,39,49,267,223,490
ASCENCION DE GUARAYOS,otras vacunaciones,covid 1ra dosis,2022-01-01,45,85,594,450,639,535,1174
ATOCHA,otras vacunaciones,covid 1ra dosis,2022-01-01,383,283,39,31,422,314,736
AUCAPATA,otras vacunaciones,covid 1ra dosis,2022-01-01,95,81,23,18,118,99,217
AYATA,otras vacunaciones,covid 1ra dosis,2022-01-01,124,85,9,13,133,98,231
AYO AYO,otras vacunaciones,covid 1ra dosis,2022-01-01,316,288,24,19,340,307,647
