,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,41,17,15,13,56,30,86
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,13,15,0,0,13,15,28
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,6,18,12,22,18,40
ANTEQUERA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,6,0,0,2,6,8
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,5,5,6,8,11,19
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,5,0,0,5,5,10
AUCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,1,0,0,1,1,2
AYATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,3,1,2,2,5,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,3,6,10,8,13,21
AZURDUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,3,10,4,10,14
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,2,0,0,0,2,2
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,2,0,2,0,2
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
