,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,33,13,0,0,33,13,46
ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,2,0,0,2,2,4
ANTEQUERA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,3,5,0,0,3,5,8
ARANI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,11,21,0,0,11,21,32
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,3,0,1,4,4,4,8
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,2,5,2,5,7
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,6,3,0,0,6,3,9
BETANZOS,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,3,6,3,6,9
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,5,0,0,2,5,7
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,0,0,0,1,0,1
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,9,6,1,0,10,6,16
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,2,2,2,4,4,8
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,4,0,0,2,4,6
CHUA COCANI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,24,23,24,23,47
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,5,0,0,1,5,6
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,13,2,8,4,21,25
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,61,106,1,0,62,106,168
