,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,2,3,0,0,2,3,5
ACHOCALLA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,1,4,0,0,1,4,5
AIQUILE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,0,1,0,0,0,1,1
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,2,0,0,0,2,0,2
ANDAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,1,2,1,2,2,4,6
ANZALDO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,1,1,0,0,1,1,2
ARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,8,17,0,0,8,17,25
ARQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,4,3,0,0,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,3,10,0,0,3,10,13
BATALLAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,12,31,0,0,12,31,43
BELEN DE ANDAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,0,3,0,0,0,3,3
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,0,4,0,0,0,4,4
BETANZOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,3,1,0,0,3,1,4
CAIROMA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,0,5,0,0,0,5,5
CAJUATA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2022-01-01,3,3,0,0,3,3,6
