,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,14,12,16,12,30,24,54
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,3,0,0,1,3,4
AIQUILE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,4,8,14,13,18,31
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,1,1,1,1,2
ANZALDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,2,1,2,1,3
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,4,7,7,13,11,24
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,5,0,0,3,5,8
AUCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,10,4,0,0,10,4,14
AYATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,13,12,5,5,18,17,35
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,2,5,4,8,6,14
AZURDUY,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,5,15,6,15,21
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,0,0,1,1
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,2,4,2,5,7
BETANZOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,2,0,0,0,2,2
BOLPEBRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,0,0,1,0,1
BOYUIBE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,0,0,0,3,0,3
BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,4,0,0,7,4,11
