,group,variable,month,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,4,4,0,0,4,4,8
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,2,4,0,0,2,4,6
EUREKA (SANTOS MERCADO),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,2,16,0,0,2,16,18
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,2,0,0,0,2,0,2
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,3,4,0,0,3,4,7
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,3,0,0,0,3,0,3
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,0,0,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,3,8,0,0,3,8,11
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,5,0,0,0,5,0,5
