,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,0,1,0,0,0,1,1
ANCORAIMES,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,4,2,0,0,4,2,6
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,2,0,1,2,3,2,5
ANTEQUERA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,1,1,0,0,1,1,2
APOLO,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,1,0,0,0,1,0,1
ARQUE,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,2,0,0,0,2,0,2
AYATA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,2,1,0,0,2,1,3
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,7,24,0,0,7,24,31
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,0,2,0,0,0,2,2
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,1,1,0,0,1,1,2
CALAMARCA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,6,18,0,0,6,18,24
CAPINOTA,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,2,1,0,0,2,1,3
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,2,5,0,0,2,5,7
CARANAVI,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,0,4,0,0,0,4,4
CARAPARI,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,0,0,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personal de salud,2022-01-01,1,0,0,0,1,0,1
