municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,9,9
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,4,4
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
ALTO BENI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,13,13
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,5,5
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,15,15
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,11,11
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
BAURES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,17,17
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,4,4
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,9,9
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,5,5
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,11,11
CATACORA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,4,4
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,4,4
CHARAÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,11,11
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
CHIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
CHUA COCANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,3,3
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,15,15
CLIZA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,13,13
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,5,5
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,33,33
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,9,9
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,2,2
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2015-01-01,8,8
