municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-01-01,2,2
ACHOCALLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-02-01,4,4
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-02-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-02-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-03-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,2,2
QUIME,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
SABAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,6,6
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-04-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
SABAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-05-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
PALCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-06-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2015-07-01,1,1
