municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,3,3
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,17,17
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,2,2
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,2,2
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,5,5
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,4,4
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,7,7
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,3,3
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,2,2
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,2,2
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,2,2
BELEN DE URMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,3,3
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,3,3
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2015-02-01,1,1
