municipality,group,variable,month,Mujeres con visita de control en las 48 hrs siguientes al parto,TOTAL
ACACIO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
ACHACACHI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,4,4
ACHOCALLA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
AIQUILE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
ALALAY,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,3,3
ALTO BENI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
ANCORAIMES,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,10,10
ANDAMARCA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
ANZALDO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
APOLO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
ARBIETO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,7,7
ARQUE,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,16,16
ASCENCION DE GUARAYOS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
AUCAPATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
AYATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,5,5
AYO AYO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,6,6
AZURDUY,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,7,7
BATALLAS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,9,9
BAURES,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
BETANZOS,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,17,17
BOLIVAR,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,8,8
CAIROMA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,4,4
"CAIZA ""D""",atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
CAJUATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,2,2
CALACOTO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,3,3
CALAMARCA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,8,8
CAMARGO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,3,3
CAPINOTA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,3,3
CAQUIAVIRI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,5,5
CARACOLLO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,3,3
CARANAVI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
CARAPARI,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
CARIPUYO,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,9,9
CARMEN RIVERO TORREZ,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
CATACORA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,mujeres con visita de control en las 48 hrs siguientes al parto,2015-01-01,8,8
