municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ALALAY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,3,3
ALTO BENI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
ANDAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
AYATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
CAJUATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
CHIPAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
COCAPATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
COLQUENCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,4,4
CORQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,5,5
EL ALTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,7,7
FILADELFIA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,5,5
LA ASUNTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,7,7
LA GUARDIA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,4,4
LICOMA PAMPA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
MAGDALENA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,6,6
MOCOMOCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
MOJOCOYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,3,3
MOROCHATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,4,4
OCURI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
OMEREQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
PAZÑA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
PORCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
PRESTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,3,3
PUCARANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,14,14
PUERTO RICO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
QUIME,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,3,3
SABAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,3,3
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2015-01-01,4,4
