municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ACACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-01-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-02-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
PUERTO RICO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
SICAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
YOCALLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-03-01,1,1
PORCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-04-01,2,2
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-04-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-04-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-04-01,3,3
TIQUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-04-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,2,2
DESAGUADERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,5,5
LA GUARDIA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-05-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,2,2
CARAPARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,1,1
EXALTACION,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,1,1
VIACHA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-06-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-07-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-07-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2015-07-01,1,1
