municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,4,4
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,3,3
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,4,4
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,10,10
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,2,2
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,4,4
POJO (CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,2,2
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,3,3
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,3,3
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-02-01,1,1
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2015-02-01,1,1
