municipality,group,variable,month,Total Nacidos muertos atendidos por partera,TOTAL
CAQUIAVIRI,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-01-01,1,1
POCOATA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-02-01,1,1
SAN CARLOS,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-02-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-04-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-04-01,1,1
RAVELO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-04-01,1,1
SHINAOTA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-04-01,2,2
YOCALLA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-04-01,2,2
COLQUECHACA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-05-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-05-01,1,1
PRESTO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-05-01,1,1
CHAQUI,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-06-01,1,1
CHAYANTA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-06-01,1,1
CHIMORE,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-06-01,1,1
POCOATA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-06-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-07-01,2,2
EL ALTO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-07-01,1,1
MOJOCOYA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-07-01,1,1
TINGUIPAYA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-07-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-08-01,1,1
RAVELO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-08-01,1,1
TOLEDO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-09-01,1,1
SAN BORJA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-09-01,1,1
TUPIZA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-09-01,2,2
AIQUILE,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-10-01,1,1
COCHABAMBA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-10-01,31,31
MONTERO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-10-01,1,1
TACOPAYA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-10-01,1,1
PUCARANI,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-11-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-11-01,1,1
RAVELO,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-11-01,1,1
TINGUIPAYA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-11-01,2,2
TIQUIPAYA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-11-01,2,2
WARNES,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-11-01,1,1
CABEZAS,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-12-01,1,1
OCURI,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-12-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-12-01,1,1
SAN CARLOS,atencion de partos en domicilio,total nacidos muertos atendidos por partera,2015-12-01,1,1
