municipality,group,variable,month,RN con malformación congénita,TOTAL
ARAMPAMPA,atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,1,1
AZURDUY,atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,1,1
EL ALTO,atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,1,1
GUANAY,atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,5,5
SAN BORJA,atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,rn con malformacion congenita,2015-01-01,1,1
BETANZOS,atencion de partos en domicilio,rn con malformacion congenita,2015-02-01,1,1
CHARAGUA,atencion de partos en domicilio,rn con malformacion congenita,2015-02-01,1,1
PRESTO,atencion de partos en domicilio,rn con malformacion congenita,2015-02-01,2,2
ATOCHA,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,1,1
CHUA COCANI,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,1,1
LA PAZ,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,1,1
PALCA,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,2,2
SAN BORJA,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,3,3
SAN IGNACIO,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,1,1
SAN MATIAS,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,1,1
YACO,atencion de partos en domicilio,rn con malformacion congenita,2015-03-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,rn con malformacion congenita,2015-04-01,1,1
EL ALTO,atencion de partos en domicilio,rn con malformacion congenita,2015-04-01,1,1
ICLA,atencion de partos en domicilio,rn con malformacion congenita,2015-04-01,1,1
LA GUARDIA,atencion de partos en domicilio,rn con malformacion congenita,2015-04-01,1,1
PELECHUCO,atencion de partos en domicilio,rn con malformacion congenita,2015-04-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,rn con malformacion congenita,2015-04-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,rn con malformacion congenita,2015-04-01,2,2
ACHACACHI,atencion de partos en domicilio,rn con malformacion congenita,2015-05-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con malformacion congenita,2015-05-01,2,2
LA ASUNTA,atencion de partos en domicilio,rn con malformacion congenita,2015-05-01,1,1
LORETO,atencion de partos en domicilio,rn con malformacion congenita,2015-05-01,1,1
