municipality,group,variable,month,Partos atendidos por otros,TOTAL
ACHOCALLA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
BELEN DE URMIRI,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,3,3
CARACOLLO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,5,5
CHUMA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,3,3
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,5,5
COROICO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
HUARINA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
HUMANATA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
ICLA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,7,7
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
PELECHUCO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
PORONGO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
PUCARANI,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,4,4
QUIME,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,3,3
TACOBAMBA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
TARABUCO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,3,3
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
TOLATA,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
TORO TORO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
WARNES,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por otros,2015-01-01,1,1
